pdb,n_res,mean_contact_degree,r_flexibility,r_contact_degree,r_burial,r_hydrophobicity
1CRN,46.000000,8.826087,0.656296,-0.491862,-0.323870,-0.081194
1UBQ,76.000000,8.578947,0.586766,-0.478331,-0.403556,-0.120634
2CI2,65.000000,8.400000,0.569459,-0.579718,-0.373881,-0.047026
1PGB,56.000000,8.785714,0.491737,-0.377945,-0.130291,-0.118590
1BDD,60.000000,8.300000,0.744098,-0.549333,-0.376498,-0.199132
1SHG,57.000000,9.298246,0.583196,-0.472827,-0.295895,-0.374069
1TIT,89.000000,9.662921,0.394031,-0.292966,-0.110406,-0.110531
1ENH,54.000000,7.592593,0.051006,-0.012315,0.090742,-0.112891
1RIS,97.000000,8.948454,0.660642,-0.421621,-0.208140,-0.038941
1APS,98.000000,9.979592,0.547434,-0.347705,-0.297943,-0.084571
1STN,136.000000,9.808824,0.486705,-0.395818,-0.444459,-0.326074
3CHY,128.000000,9.343750,0.640422,-0.445561,-0.384623,-0.107984
1TEN,89.000000,9.325843,0.554710,-0.285770,-0.237452,-0.069950
1AJ3,98.000000,8.326531,0.497254,-0.055025,-0.214063,0.011849
1PHT,83.000000,9.277108,0.568314,-0.624222,-0.436695,0.031151
1IGD,61.000000,8.557377,0.542314,-0.574678,-0.153201,-0.073167
1PIN,153.000000,9.477124,0.761226,-0.584895,-0.530113,-0.213097
2PTL,78.000000,8.564103,0.858471,-0.683913,-0.098074,-0.303518
1CTF,68.000000,9.529412,0.512463,-0.316477,-0.100610,-0.121025
1FKB,107.000000,10.074766,0.669981,-0.346007,-0.304107,-0.158350
1CSP,67.000000,9.194030,0.752399,-0.550814,-0.450867,-0.305595
1SHF,59.000000,9.118644,0.298093,-0.371039,-0.314548,-0.280075
1PBA,81.000000,8.518519,0.347701,-0.415849,-0.031411,-0.020380
1HZ6,67.000000,9.104478,0.464458,-0.489338,-0.184059,-0.218797
1UBI,76.000000,8.631579,0.583740,-0.471059,-0.366963,-0.117321
2GB1,56.000000,8.821429,0.549361,-0.391101,-0.126940,-0.067508
1DIV,149.000000,9.194631,0.797714,0.106301,0.016620,0.055335
1BEB,156.000000,9.820513,0.580060,-0.445498,-0.331801,-0.201279
